	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
taxon_134	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	443	0	208	0	0	0	0	0	0	0
taxon_135	0	0	278	100	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0
taxon_136	0	0	491	206	0	429	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_137	184	0	0	137	0	0	0	0	0	0	0	0	715	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_138	0	0	286	0	0	0	0	0	0	0	396	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0
taxon_139	0	0	0	0	0	0	0	0	0	0	0	0	234	0	399	0	0	0	226	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_140	0	142	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	351	0	0	0	0	0	0	0	0	0
taxon_141	0	0	130	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	160	0	0	0	0	0	0	0	0	0
taxon_142	0	0	43045	0	318	0	19081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_143	36427	0	0	0	0	0	0	2848	10894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_144	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	42156	0	0	0	0	0	0	0
taxon_145	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4119	26212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_146	4672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	19546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_147	0	0	0	4993	0	0	0	0	0	0	0	0	0	7936	3961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_148	7320	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	7526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_149	0	0	0	0	0	0	0	0	0	0	0	2504	0	0	1062	11263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
